Customer,Name,Email
ADV106,ADVANCE CASH AND CARRY,frankh@adtech.co.zw
ADV107,ADVANCED CREATIVE**COD**, 
ADV108,ADVANCE WAREHOUSING (PTY) LTD,yusufkalla@pixie.co.za
ADV150,ADVA - AD PRETORIA *COD*,dave@adva-ad.co.za
AER100,AEROTRADE NO 16 CCC***COD***,zakas@iburst.co.za
AER101,AERIAL CONCEPTS***COD***,dean@aerialconcepts.co.za
AER611,AERY CC ***COD***,AERYCC@LANTIC.NET
AES100,AESTHETIC CONCEPTS CC***COD***, 
AES101,AESTIBUS ZAMBIA LIMITED *COD*,aestibus@gmail.com
AFB100,A-F BHAMJEE TRADING,afbsupply@gmail.com
AFF100,AFFORDABLE STATIONER *COD*,ngraphix@mweb.co.za
AFF101,AFFIRMATIVE CAREER PATHS*COD*, 
AFG100,AFGEN PTY LTD ****COD***, 
AFI100,AFIKA PROMOTIONS**COD**, 
AFR001,AFRICAN PAPER PRODUCTS *COD**,jerry@africanpaper.co.za
AFR100,AFRI WELDING & TOOLS,  accounts@afriwt.co.za
AFR101,AFRICAN PAPER PRODUCTS,jerry@africanpaper.co.za
AFR102,AFRICA NDI YASHU (COD) CASH,joseph.mnisi@postoffice.co.za
AFR103,C.O.D. AFRICA STEELCRAFTS, 
AFR104,AFR NEWS AGEN HOLD**COD***, 
AFR105,AFRI CORE STORAGE SYST CC,michelle@africore.co.za
AFR106,AFRICA STATIONERS(H/O 5/4/06),lasco@mega.bw
AFR107,AFRICAN COMMODITTIES **COD****,africancommodities@botsnet.bw
AFR108,AFRICA HERITAGE COMMUNICATIONS, 
AFR109,AFRO SCHOOL SUPPLIES (PTY) LTD,orders@afroschool.co.za
AFR110,AFRICAN BRANDS TRADING**COD***,afrbrand@mweb.com.na
AFR111,AFRISHINE CONSULTING ***COD***,afrishineconsulting@gmail.com
AFR112,AFRICA TECHNOLOGY ***COD***,rishaal@afrikatech-stationery.co.za
AFR113,AFRICAN FILING SYSTEMS **COD**,sales@africanfiling.co.za
AFR114,AFRICAN DIVERSITY ***COD***,eric@africandiversity.co.za
AFR115,AFRICAN GROUND RTM (PTY)  *COD,mthokodlomo@gmail.com
AFR116,AFRICA C/C CROWN MINES (PTY) L,irajah@africacnc.co.za
AFR118,AFRICA CASH/C POLOKWANE,vasim@africacnc.co.za
AFR150,AFRICOOL ***CLOSED,africool@mighty.co.za
AFR151,AFRISTAT DISTRIBUTORS **COD**,romi@kores.co.za
AFR152,AFRICAN BRANDS TRADING *COD*,werner.beneke@africanbrands.biz
AFR153,AFRIBIZ EXP PTY LTD**COD**, 
AFR612,AFRICAN COMMERCE PTY LTD,LOUISES@BIDVESTAFCOM.CO.ZA
AFT100,AFTEX EXPORTERS CC**CLOSE*,chris@aftex.co.za
AGA100,AGAPE CAFE (ALDETYPE)***COD***, 
AGA102,AG-AGGIE TRADING(PTY) LTD***COD***,phuthumanips@gmail.com
AGA611,AGANG GENERAL DEALER CC**COD**,ria@wasp-sa.co.za
AGC100,AGC LABELS & SUPPLIES **COD**,agclabels@polka.co.za
AGE101,AGE AFRICA PROMO (PTY)LTD**COD, 
AGE110,AGE TECHNOLOGIES JHB *CLOSED,marketing@age.co.za
AGF100,AGFA (PTY) LTD, 
AGI611,AGISANANG DIST CLOSED,VENTERJM@TELKOMSA.NET
AGM100,AGNESS NGOMA CLOSED, 
AGN100,AGNES JANDALALA, 
AGN101,AGNES PEGGY MALITA CHATS**COD, 
AGN102,AGNES B SAKA (COD), 
AGO100,AGOGESI TRADING ENTER***COD***, 
AGW100,AGWJ (PTY) LTD ***COD,dinaagwj.co.za
AIM130,A I M STATIONERS,evanm@spherical.co.za
AIR100,AIRIE SESSION TRADE (COD) CASH,pmpeta@hotmail.com
AIR101,AIRPORT STEEL CC ***COD***,airportsteel@mweb.co.za
AJC100,AJC STATIONERS***CLOSED,jjv@vodamail.co.za
AJM100,A.J.M STATIONERY **COD**CASH,altabotha@axxess.co.za
AJM611,AJM STATIONERY**COD**,altabotha@axxess.co.za
AJN100,A. J. NORTH (PTY) LTD****COD*, 
AKA100,AKA GOODS TRADING **CLOSED, 
AKC100,AK COMMUNICATIONS CC**COD**, 
AKH100,AKHANYA PROJECTS (USE AKC100), 
AKH101,AKHONA SUPPLIES + SERVI**COD**,carol @akhonasupplies.co.za
AKH102,AKHONA SUPPLIES & SERVIC *COD*,carol@akhonasupplies.co.za
AKI100,AKIRA QUALITY STAT***COD***,statement_jb@silveray.co.za
AKL100,AKLM TRADING (CASH ONLY), 
AKL101,AKLIN CARBIDE (PTY)LTD**COD**, 
AKM100,AK MANUFACTURES & PROJ***COD**,kimonaf@gmail.com
AKP100,AKP TRADING (CASH ONLY), 
AKS100,A.K SPICE CENTRE,akstat@vodamail.co.za
AKS101,AK STATIONERY AND OFFICE SUPPL,akstationery1@gmail.com
AKU101,AKUBUZI OFFICE SUP (CASH ONLY), 
ALA100,ALANA TRADING (COD),smartryk@mwebbiz.co.za
ALA107,ALADDINS CAVE, 
ALB100,ALBERT WORKS (PTY)LTD*CLOSED,worksalbert@gmail.com
ALB101,ALBERTON PRINT & COPY  CC*COD*,info@albertonprint.co.za
ALC100,BINDWORX ****COD**,riaan@exutate.co.za
ALC101,ALCARI 354 CC***COD***,thaboM@mtnloaded.co.za
ALC102,ALCAGEN ELECTRONICS(COD)CASH!!,alcagen.ink@gmail.com
ALC120,ALCOR STATIONERS (PTY) LTD,alcor@iafrica.com
ALE100,WADEVILLE OFFICE NATIONAL,wadeville.admin1@officenational.co.za
ALE101,ALE HOLDINGS (COD) CASH,statement_jb@silveray.co.za
ALF100,ALFRED MWECHUMU**CASH ONLY***, 
ALF130,ALF'S STATIONERS,alfs@iafrica.com
ALI100,ALICE NGOMA **COD**, 
ALI611,ALIWAL  DRUKKERS CC,saartjie@aliwalprinters.co.za
ALL100,ALL ABOUT OFFICE **LEGAL**,accounts@allaboutoffice.co.za
ALL101,ALL COMPUTERS, 
ALL103,ALL IN ONE STATIONERS (CASH ON,meranda@allinonestationers.co.za
ALL104,ALL STATIONERY (PTY) LTD,allstationery@realnet.co.sz
ALL105,ALL-IN-ONE STATIONERY**CASH**,allinone.stationery@yahoo.com
ALL106,ALLIED PAPER PRODUCTS,info@allied.co.bw
ALL107,ALL ROUND STATIONERS CC (CLOSE,allround@eject.co.za
ALL108,ALL OF US BUSINESS (CASH ONLY), 
ALL109,ALLTEL HOLDINGS (PTY) LTD *CLO,tshoklo@yahoo.co.uk
ALL110,ALLTEL HOLDINGS (PTY) LTD*COD*,tshoklo@yahoo.co.uk
ALL111,ALLIED DISTRIBUTORS,accounts@allieddist.co.za
ALL112,ALLEN DISTR SERVICES**COD***, 
ALL113,ALL NATIONS COM & CONS**C.O.D*, 
ALL114,ALL SORTS GENERAL DISC,info@allsortsgd.co.za
ALL115,ALLAN GRAY UNIT TRUST ***COD**,celeste.benjamin@allangray.co.za
ALL116,ALL FIGURED OUT *****COD**,pa@nationaloffice.co.za
ALL117,ALL SAVE SUPERMARKET (PTY)*COD, 
ALL150,ALLIGATOR MANUFACTURING CC,melony@alligator.co.za
ALL151,ALLY CAT PROM **COD**, 
ALO100,ALOE PRINTERS (COD)CASH,3dc@iburst.co.za
ALO101,ALOIS KATIVHU ***CASH ONLY***, 
ALO102,ALOE PRINTERS***COD***, 
ALP100,ALPHA STATIONERS (PTY) CLOSED,shenton@alphastationers.co.za
ALP101,ALPHA STATIONERS ***CLOSED,alphastationers@outlook.com
ALS100,AL STATIONERS (CASH ONLY), 
ALS102,AL'S HOBBIES ***COD***,info@alshobbies.co.za
ALT100,ALTICORP INV ***CLOSED,omphile.maoto@alticorp.co.bw
ALT101,ALTERDENA INVESTMENTS***COD*,godfreytm@hotmail.com
ALT102,ALTERNATIVE OFFICE SUPPLIES (PTY) LTD,aos.liana@outlook.com
ALT110,AL - TRADE PROMOTIONS CC *COD*,al-trade@telkomsa.net
ALU100,ALUWANI FINANCE SOL & PRO *COD, 
ALU101,ALUTA BOOKS CC ***COD***,alutabooks@webmail.co.za
ALU102,ALUDAR 121CC (COD) CASH,statement_jb@silveray.co.za
ALU103,ALUDAR HOLDINGS**COD**,nancy@aludar.co.za
ALU104,ALUSA OFFICE STAT**CLOSED,info@gmail.com
ALU105,ALUPHO CONSTRUC AND GEN***COD***,dlutholwethu@yahoo.com
AM2100,AM 2 PM CORP SOLUTIONS****COD*,paula@am2pmcs.co.za
AMA100,AMANZIMTOTI PRIM SCHOOL(COD),admin@amanzimtotiprimary.co.za
AMA101,AMANDA JOHNSON & CO,accounts@amandajohnson.co.za
AMA102,AMAGON BUSINESS SOLUTIONS**COD, 
AMA103,AMAMPONO BUSINESS (CASH ONLY), 
AMA104,AMAKHOSI BUS ENTER (CASH ONLY), 
AMA105,ATECH BUSINESS SUPP T/A AMAZIT,admin@atech.co.za
AMA106,AMABEE TRADING CC***COD***, 
AMA107,AMASALAA TRADING ENT***COD***, amasalaa@webmail.co.za
AMA108,AMALGAMATED BUSINESS SERV**COD,stefan.marais@icloud.com
AMA110,AMANONYANE TRADING (PTY)***COD,Mosebjadi.Komane@glencore.co.za
AMA150,AMAJUBA DISTRICT MUNICIPALITY, 
AMB100,AMBRELER TRADING CC (CASH ONLY, 
AMB101,AMBISANANI COMP TECH***COD***, 
AMB102,AMBROSIAL FRESH PRODUCE *COD*,"brnwn.olsen@gmail,com"
AMB103,AMBIENT OFFICE SYSTEMS *COD*, 
AMB104,AMBISANANI COMPUTER TECH**COD*,info@ambisanani.co.za
AME100,AMEDZO TRAD & PROJ**COD**,amedzomeleng@gamail.com
AMI100,AMIWARE CC,nomsa@amiware.co.za; accounts@amiware.co.za
AMI101,AMICAM TRADING (PTY)LTD***COD***,jacob@rainbowreadymix.co.za
AMK613,AMKELO  DISTRIBUTIONS CLOSED,aslie@webmail.co.za
AMK615,AMKELO 527 CC**BPP**CLOSED,schoane33@gmail.com
AML100,AM LOADER TRADING ***COD***,cheremosia@gmail.com
AMO100,AMONG ANGELS CRAFT SHOP, 
AMO101,AMOURESE (PTY) LTD ***COD***,velilemdhluli@hotmail.com
AMP100,AMPER ALLES MICA H/WARE (PTY),amperalles@loskop.co.za
AMP101,AMPER ALLES MICA SILVER LAKES,slaccounts@micahwcity.co.za
AMP110,AMPER ALLES ALGEMENE HANDELAAR,admin@amperallesgdal.co.za
AMS100,AMS TRADING ***COD***,amstrade@mweb.co.za
AMS101,A+M STATIONEY ***COD***, 
AMS102,AM SERCOTE****COD****,nelsonivomangue@gmail.com
AMT100,VAN NIEKERK AN VAN DER LINDE CC T/A,limpopostationery@gmail.com
AMT101,AMT COMPOSITES T/A ADVANCED MATERIALS***COD***,damian@amtcomposites.co.za
AMT102,AMT TROPHIES MIDDELBURG***COD****,info@amtrophies.co.za
AMY100,AMYSA STATIONERS CC,amysa@telkomsa.net
AMY101,AMYSA STATIONERS CC   *(BTS),amysa@telkomsa.net
AMZ100,AMZA COPIA MASTER CC ***CLOSED,matsobaneamos@yahoo.com
ANA100,AN AND AN BOOKSHOP (CASH ONLY,statement_jb@silveray.co.za
ANB100,ANB BELEGGINGS BK,bettie@penta-net.co.za
AND101,ANDREW NAPHT STAT CC **COD****, 
AND102,ANDVIC MINING EQUIP***COD***,ANDVICLTD@YAHOO.COM
AND103,ANDERBOLT TRADING ***CLOSED,UMSAFAYA@GMAIL.COM
ANE100,ANESH ENTERPRISES,acc.anesh@iafrica.com
ANG100,ANGEL LA FELICITA  ***COD***,angel.la.felicita@gmail.com
ANG110,ANGLO OFFICE SUPPLIES,sales@anglo-office.co.za
ANN100,ANNEMARIE ALLEN CC**COD**,acc.adprint@gmail.com
ANO100,ANOLAONA ENT **CLOSED,'lerato.balatseng@anolaona.co.za'
ANS120,ANSO KUNS**COD**,beatrixkuns@absamail.co.za
ANT102,ANTHONYS STATIONERY, 
ANT103,ANTKOP LOGISTICS CC***COD***, 
ANT150,ANT PRODUCTION  MANAGEMENT CC,nick@antproduction.co.za
ANT611,ANTALIS SOUTH AFRICA (PTY)LTD,YVANROOYEN@ANTALLIS.CO.ZA
ANU100,FRIENDS ART & CRAFTS**COD**,anuroux@telkomsa.net
ANW100,ANWARY'S (PTY) LTD, 
ANW611,ANWARY RITE VALUE DISTRIBU,anwaryritevalue@gmail.com
APD100,AP DU PLESSIS STATIONERY SUPPL, 
APD102,A2 PROMOTINS & DISTRIBU**COD**,statement_jb@silveray.co.za
APE100,APEX PENCIL SA CC ***COD***,accounts@apexrolfes.com
APH100,APHANE CONSULTING***COD*****, 
APP100,APPLE OF HIS EYE STAT***COD***,appleofhiseyekidz@gmail.com
APP110,APPLEBEE OFFICE SUPPLIES CC,June Lategan <june@applebee.co.za>
APP200,APPLEBEE CONSIGNMENT,applebee@icon.co.za
APS101,APSELY INVESTMENTS***COD***,abtic@zol.co.zw
AQU100,AQUASTAT OFFICE SUPPLIES,aquastat@mweb.co.za
AQU101,AQUILA HEALTHCARE(H/O 29.1.04), 
AQU102,AQUALINE ***COD***,wendy@aqualine.co.za
AQU103,AQUARIAN PROMOTIONAL SER**COD*,  www.aquarianpromo.co.za
AQU104,AQUILA ADVERTISING BRANDING & COMM**COD**,general@aquilazone.co.za
AQU150,AQUELLE ***COD***, 
ARB100,ARBOR PRE-PRIMARY (COD) CASH,statement_jb@silveray.co.za
ARC100,ARCHNEER STATIONERS (PTY) LTD,accounts@archneer.co.za
ARC103,ARCHNEER USE ARC100,accounts@archneer.co.za
ARC150,ARCELORMITTAL S. A LTD,jovanne.david@arcelormittal.com
ARD100,ARDRI INVEST (OFF NAT) T/A ICA,orders@comrite-mdb.co.za
ARE100,ARETHOMENG AGENCIES CC**COD***,mathomo@telkomsa.net
ARE101,ARESHOMENG UTILITIES ***COD***,smthulare@gmail.com
ARG100,ARGUS MOTORS CC,nickyb@argusmotoring.co.za
ARI100,ARIKA & JANE (COD) CASH,statement_jb@silveray.co.za
ARI101,ARIES STATIONERS (CASH ONLY), 
ARI102,ARIES OFFICE SUPPLIES, 
ARI103,AR INDUSTRIAL SUPPLIES C***COD***,gerty@arindustrial.co.za
ARK100,ARK PRINTERS & STATIONERS,arkprint@yebo.co.za
ARL100,ARLOU TRADING***COD***,statement_jb@silveray.co.za
ARL101,A & R LITHO,arlitho@telkomsa.net
ARM100,ARMOUR CORE***COD***,atdefence@gmail.com
ARP100,CONTINENTAL PRINTING INKS CLOS,info@continental-inks.com
ARR100,ARROW STATIONERS,arrow@officenational.co.za
ARS100,ARSH INVESTMENTS (PTY) LTD,sabir@mega.bw
ART100,ART BOOK CENTRE PTY LTD**BPP**,mantombi50@gmail.com
ART101,ARTIST SHOP (CASH ONLY), 
ART102,ART JOURNEY***COD**, 
ART103,ARTS & CRAFT RHAPSODY(COD)CASH,statement_jb@silveray.co.za
ART104,ARTSWANA (PTY) LTD,accounts@artswana.co.bw
ART105,ART & STATIONERY, 
ART106,ARTHUR P ANDERSON, 
ART107,ARTKITS,artkits8@gmail.com
ART108,ART WORLD,rajittan@yahoo.com
ART109,ARTLINE STAT (H/O 11/8/05), 
ART110,ART ON GRANT(ACC CLOSED), 
ART111,ART DEN CC******COD******,statement_jb@silveray.co.za
ART112,ARTONGRANT***COD***,statement_jb@silveray.co.za
ART113,ART ATTACK***COD***,web@artattackshop.co.za
ART114,ART & PAPER ***CLOSED,artandpaper1@gmail.com
ART115,ARTAUPICA BUSINESS ENT.****COD****,artaupicabe@vodamail.co.za
ART613,ART O GRAPHIC PTY LTD**COD**,artographic.colesberg@gmail.com
ARW100,ARWIN'S BAZAAR,ravi@lantic.net
ASA100,ASATICO BOLT & TOOL CC, 
ASA101,AS AFRICA SUPPLIES & TRAD**COD,attishjaganath@gmail.com
ASE100,ASEMAHLE CORPORATE SOLUTIO*COD,admin@asemahle.co.za
ASH100,ASHLEE DISTRIBUTORS C C,Chantell Hearlen <creditors@ashlee.com.na>
ASH101,ASHANTI TRADING CC, 
ASI100,ASINGOBE TRADING (PTY)LTD ***COD***,asingobetrading@gmail.com
ASI101,ASIHLOBE TRADING & SER***COD**,gcinaxy@gmail.com
ASK100,ASKCREATIONS ***CLOSED***,statement_jb@silveray.co.za
ASP100,ASPIRE MARKETING CC, 
ASP102,ASP STATIONERY & GOODS ***COD*, 
ASP103,HUBAGALE BUSINESS SOL. ***COD,matidi.greenstone@3at1.co.za
ASP104,A & S PROMOTIONS***COD***,aletbwork@gmail.com
ASP150,ASPECT PERSONNEL t/a ASPECT CO, 
ASS100,ASSOCIATED INDUSTRIES(PTY) LTD,clairek@aigroup.co.za
ASS102,ASSIGN SERVICES (PTY) LTD *COD,shareen@assign.co.za
AST100,ASTRA GRAPHICS ***CLOSED***,allan@astragraphics.co.za
ATA100,ATA PRINT ***COD***, 
ATC100,ATC GLOBAL TRADING CC CLOSED,ak@atcglobal.co.za
ATH100,ATHSA TRADING (COD) CASH,athsatrading@gmail.com
ATH101,ATHATENG SOLUTIONS (PTY) LTD ***COD***,athatengsolutions@gmail.com
ATH102,ATHENS INVESTMENTS (PTY)LTD***COD***,ptombindo@yahoo.com
ATL100, ATLEGA OFFICE (COD),atlegastationers@webmail.co.za
ATL101,ATLEY (PTY) LTD****COD**,taboko123@gmail.com
ATL102,ATLEHANG CAPITAL (PTY)LTD**COD,md@atlehang.com; mramaili@atlehang.com
ATO100,ATOMIC PROJECTS CC,carike@atomicprojects.co.za
ATP100,AT PRODUCTS CC***COD***, 
ATS100,A T STATIONERS, 
ATT100,ATTILLA ARTS & CRAFTS***COD***, 
ATT110,ATTERO TRADING CC**CLOSED***,attero.trading@gmail.com
ATX100,ATX TRADING T/A FAB GRAPHICS ***COD***,schalk@fabgraphics.co.za
ATY100,AT YOUR SERVICE STATIONERY, 
AUC100,AUCT & SALV  NET***COD***, 
AUG100,AUGUSTINE STATIONERS*CASH ONLY, 
AUM100,AUM DISTRIBUTORS CC, 
AUR100,DAVID STAT & PRINT ***COD***, 
AUT100,AUTOBUILD AFRICA,info@autobuild.co.za
AUT101,AUTO JONHCO CC,autojonhco@telkomsa.net
AUT102,AUTUMN SKIES TRADING 672**CLOSED**,vusimo@yahoo.com
AVA100,AVATORIA STATIONERS**COD**,avatoria@gmail.com
AVA101,AVANTE ELECTRONIC (COD) CASH,admin@avanteadvisory.com
AVE100,GIFTCO CORPORATE  & P***COD***,statement_jb@silveray.co.za
AVE101,AVELA INVESTMENTS (PTY)LTD*COD,0026876188491
AVE103,AVEX  AIR TRAINING ***CLOSED,mariska@avexair.com
AVI100,AVITHA TRADING ENTERP **CLOSE,avithatrading@gmail.com
AVL100,AVL SUPPLIES (COD) CASH,alvinmoodley@polka.co.za
AWE100,AWESOME COMPUTER TECHNOLOGIES, 
AWE101,AWEE EN REE EVENTS ***COD**, 
AYA100,AYANOLO LOGISTICS *COD*,mphom@silveray.co.za
AYL100,AYLOS DISRTIBUTORS PTY LTD,amakitla@hotmail.com
AYM100,A.Y.M. SERVICES CC **COD**, 
AYN100,AYNI MARKETING CC ***COD***,priya@aynimarketing.co.za
AYO100,AYOBS CASH & CARRY, 
AZA100,AZA PROMOTIONS (PTY) LTD *COD*,accounts@avalons.co.za
AZA101,AZADEX (PTY) LTD (COD) CASH,azadex21@gmail.com
AZD100,A-Z DISTRIBUTORS (COD) CASH ON,statement_jb@silveray.co.za
AZE100,AZEO PROMOTIONS CC ***COD***, 
AZK100,AZKIZ STATIONERS***COD***,zahira.bapoo@gmail.com
AZO100,AZ OFFICE SUPPLIERS**BPP***,statement_jb@silveray.co.za
AZS100,A - Z STATIONERS***OD***,elna.harmse01@gmail.com
AZT100,AZ TRADING CORP ***COD***,rajah@aztrading.co.za
AZU100,AZUR AERIAL WORK CC (CASH ONLY, 
B2B100,B2B TRADERS CC,b2btraders@mweb.co.za
B2B101,B2B LOGISTIC***CLOSE**,anthony@b2blogistic.com
B3M100,B3 MEDIA PTY LTD (H/O 23/05/08,francois@b3media.co.za
B3M101,B3 MEDIA PRODUCTS (PTY) LTD,shakila@b3media.co.za
BAA100,BAAS BASSIE INVENTORY *COD*,johnathan.gololo@bmw.co.za
BAB100,BABINA TLOU TRAD(COD)CASH,albertmmadi@gmail.com
BAB101,BABTUNSART (COD) CASH,babtunsart@hotmail.com
BAB102,BABINATLOU SYSTEMS CC ******COD,sales@babinatlou.com
BAB611,BABINAKOSHA CONSTR*COD*CLOSED, 
BAC102,BACK TO SCHOOL WITH ***COD***, 
BAD100,BADGES & SILVER ART CC,paul@iactive.co.za
BAD101,BADIRAMOGO TRADING ***COD***,statement_jb@silveray.co.za
BAD102,BADISHA TRADING PROJECTS **COD,kgadi@badisha.co.za
BAD110,BADIRI BA SETSHABA ***CLOSED,badiribbs@webmail.co.za
BAD111,BADIRI MANUFACTURES & DIST***COD***,clancydichabe@yahoo.com
BAE100,BAETAPELE OFFICE*****COD*****,mudy@webmail.co.za
BAF611,BAFOKENG INN & FILL CLOSED,mofokengthabo42@yahoo.com
BAG100,BAGAMORIFI PROJECTS (COD) CASH,bagamorifiprojects@gmail.com
BAG101,BAGIA DISTRIBUTORS,bagia@telkomsa.net
BAG102,BAGAPI OFFICE SUPPLIES (COD) C,statement_jb@silveray.co.za
BAH100,BAHLAKO TRADING ENT***COD***, 
BAH101,BAHATI INVESTMENT HOL CLOSE,info@beholdings.co.za
BAH102,BAHAMAS TRADING ***COD***,dominic.bahamas@gmail.com
BAH612,BAHE TRADING **COD**CLOSED,hernandezheidi69@yahoo.com
BAI110,R.A BAILEY PTY LTD, 
BAK100,BAKGALAKA TRADING (COD) CASH,bakgalaka@ymail.com
BAK101,BAKGONI LABOUR CONSULTANTS CC,bakgoni@yahoo.com
BAK102,BAKER STREET BOOKS***COD***,info@bakerstreetbooks.co.za
BAK103,BAKWENA SYSTEMS INTERGRATORS,akhona@bakwenasystemsint.co.za
BAK104,BAKGOELE TECHNOLOGIES*CLOSED***,simon.ntsala@gmail.com
BAK105,BAKZ Engineering &C*****CLOSED*,bonganid@bakz.co.za
BAK106,BAKSUMI DISTRIBUTORS***CLOSED****,isaiahhtz@absamail.co.za
